audit_priority,trigger_type,database,amb,outcome,outcome_label,family,Model,project,Scenario,Pathway,family_n_cdr,family_n_re,recommended_audit,cdr_metric,re_metric,cdr_cutoff,re_cutoff,cdr_ratio_to_cutoff,re_ratio_to_cutoff,classification_state
1,Sole family-arm comparator,Full,1.5C,total_energy_jobyears_per_1k,Employment,AIM,AIM/CGE V2.2,ENGAGE,ENGAGE-NPi2020-600f,High-CDR,1,3,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,gap_GJ_pc,DLE gap,AIM,AIM/CGE V2.2,ENGAGE,ENGAGE-NPi2020-600f,High-CDR,1,3,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,headcount_pct,Deprived headcount,AIM,AIM/CGE V2.2,ENGAGE,ENGAGE-NPi2020-600f,High-CDR,1,3,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,gap_GJ_pc,DLE gap,GCAM,GCAM 6.0 NGFS,NGFS Phase 5,NGFS Phase 5-Net-Zero 2050,High-RE,7,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,headcount_pct,Deprived headcount,GCAM,GCAM 6.0 NGFS,NGFS Phase 5,NGFS Phase 5-Net-Zero 2050,High-RE,7,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Lifestyle-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Lifestyle-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Lifestyle-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
2,Two-scenario family-arm comparator,Full,2C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-34-Renewables,High-RE,45,2,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,total_energy_jobyears_per_1k,Employment,POLES,POLES-JRC ENGAGE,ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,gap_GJ_pc,DLE gap,POLES,POLES-JRC ENGAGE,ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,headcount_pct,Deprived headcount,POLES,POLES-JRC ENGAGE,ENGAGE,ENGAGE-Feasibility-Maximum-Effort/Technology,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,Full,1.5C,total_energy_jobyears_per_1k,Employment,REMIND,REMIND 3.0,NAVIGATE,NAVIGATE Demand-1.5°C-all_u,High-CDR,1,59,"Inspect classification position, project design, bundled assumptions and outcome mechanism",670689.67714215,2201562.27508765,565430.0377324205,2704533.97885197,1.1861585561174974,0.8140264800896224,High-CDR
1,Sole family-arm comparator,Full,1.5C,gap_GJ_pc,DLE gap,REMIND,REMIND 3.0,NAVIGATE,NAVIGATE Demand-1.5°C-all_u,High-CDR,1,59,"Inspect classification position, project design, bundled assumptions and outcome mechanism",670689.67714215,2201562.27508765,565430.0377324205,2704533.97885197,1.1861585561174974,0.8140264800896224,High-CDR
1,Sole family-arm comparator,Full,1.5C,headcount_pct,Deprived headcount,REMIND,REMIND 3.0,NAVIGATE,NAVIGATE Demand-1.5°C-all_u,High-CDR,1,59,"Inspect classification position, project design, bundled assumptions and outcome mechanism",670689.67714215,2201562.27508765,565430.0377324205,2704533.97885197,1.1861585561174974,0.8140264800896224,High-CDR
2,Two-scenario family-arm comparator,Full,2C,total_energy_jobyears_per_1k,Employment,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2020,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",737077.0990903586,1583039.9137879936,550795.0699210565,1914001.2595672116,1.3382056945353582,0.8270840501672114,High-CDR
2,Two-scenario family-arm comparator,Full,2C,gap_GJ_pc,DLE gap,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2020,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",737077.0990903586,1583039.9137879936,550795.0699210565,1914001.2595672116,1.3382056945353582,0.8270840501672114,High-CDR
2,Two-scenario family-arm comparator,Full,2C,headcount_pct,Deprived headcount,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2020,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",737077.0990903586,1583039.9137879936,550795.0699210565,1914001.2595672116,1.3382056945353582,0.8270840501672114,High-CDR
2,Two-scenario family-arm comparator,Full,2C,total_energy_jobyears_per_1k,Employment,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2030,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",595273.4606781763,1653849.2428767874,550795.0699210565,1914001.2595672116,1.0807530662238765,0.8640794955645698,High-CDR
2,Two-scenario family-arm comparator,Full,2C,gap_GJ_pc,DLE gap,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2030,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",595273.4606781763,1653849.2428767874,550795.0699210565,1914001.2595672116,1.0807530662238765,0.8640794955645698,High-CDR
2,Two-scenario family-arm comparator,Full,2C,headcount_pct,Deprived headcount,WITCH,WITCH 5.0,COMMIT,COMMIT-2°C-2030,High-CDR,2,16,"Inspect classification position, project design, bundled assumptions and outcome mechanism",595273.4606781763,1653849.2428767874,550795.0699210565,1914001.2595672116,1.0807530662238765,0.8640794955645698,High-CDR
1,Sole family-arm comparator,SCI-vetted,1.5C,total_energy_jobyears_per_1k,Employment,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-19-Renewables,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,SCI-vetted,1.5C,gap_GJ_pc,DLE gap,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-19-Renewables,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
1,Sole family-arm comparator,SCI-vetted,1.5C,headcount_pct,Deprived headcount,IMAGE,IMAGE 3.2,SSP2021,SSP2021-SSP1-SPA1-19-Renewables,High-RE,4,1,"Inspect classification position, project design, bundled assumptions and outcome mechanism",NA,NA,NA,NA,NA,NA,NA
