Model_display,Scenario_display,amb,Pathway,family,project,coverage_status,target_partition,raw_model,raw_scenario
IMAGE 3.0,COMMIT-Bridge,2C,High-CDR,IMAGE,COMMIT,Engineered target with raw coverage but no output,World-fallback sensitivity,IMAGE 3.0,COMMIT-Bridge
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-hybrid-def,2C,High-RE,REMIND,Diff,Engineered target with raw coverage but no output,World-fallback sensitivity,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-hybrid-def
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-no-transfer-def,2C,High-RE,REMIND,Diff,Engineered target with raw coverage but no output,World-fallback sensitivity,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-no-transfer-def
REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-uniform-pricing-def,2C,High-RE,REMIND,Diff,Engineered target with raw coverage but no output,World-fallback sensitivity,REMIND-MAgPIE 2.0-4.1,Diff-1300Gt-uniform-pricing-def
REMIND-MAgPIE 2.0-4.1,Diff-NoPolicy-Baseline,2C,High-RE,REMIND,Diff,Engineered target with raw coverage but no output,World-fallback sensitivity,REMIND-MAgPIE 2.0-4.1,Diff-NoPolicy-Baseline
REMIND 2.1,CEMICS-HotellingConst-1.5°C,1.5C,High-RE,REMIND,CEMICS,Gap-80 target with raw coverage but no output,Direct-R10 primary,REMIND 2.1,CEMICS-HotellingConst-1.5°C
REMIND 3.0,NAVIGATE Demand-2.0°C-act_u,2C,High-RE,REMIND,NAVIGATE,Gap-80 target with raw coverage but no output,Direct-R10 primary,REMIND 3.0,NAVIGATE Demand-2.0°C-act_u
REMIND 3.0,NAVIGATE Demand-2.0°C-ele_u,2C,High-RE,REMIND,NAVIGATE,Gap-80 target with raw coverage but no output,Direct-R10 primary,REMIND 3.0,NAVIGATE Demand-2.0°C-ele_u
REMIND 3.0,NAVIGATE Demand-2.0°C-tec_u,2C,High-RE,REMIND,NAVIGATE,Gap-80 target with raw coverage but no output,Direct-R10 primary,REMIND 3.0,NAVIGATE Demand-2.0°C-tec_u
GCAM 6.0 NGFS,NGFS Phase 5-Below 2°C,2C,High-RE,GCAM,NGFS Phase 5,Likely pre-repair degree-sign key omission,Direct-R10 primary,GCAM 6.0 NGFS,NGFS Phase 5-Below 2°C
IMAGE 3.0,COMMIT-2°C-2020,2C,High-CDR,IMAGE,COMMIT,Likely pre-repair degree-sign key omission,World-fallback sensitivity,IMAGE 3.0,COMMIT-2°C-2020
IMAGE 3.0,COMMIT-2°C-2030,2C,High-CDR,IMAGE,COMMIT,Likely pre-repair degree-sign key omission,World-fallback sensitivity,IMAGE 3.0,COMMIT-2°C-2030
IMAGE 3.3,NAVIGATE Demand-1.5°C-act_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-1.5°C-act_u
IMAGE 3.3,NAVIGATE Demand-1.5°C-all_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-1.5°C-all_u
IMAGE 3.3,NAVIGATE Demand-1.5°C-ref,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-1.5°C-ref
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u
IMAGE 3.3,NAVIGATE Demand-2.0°C-act_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-2.0°C-act_u
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-2.0°C-ref
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,2C,High-CDR,IMAGE,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u
IMAGE 3.3,SHAPE-SDP-EI-1.5°C,1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-EI-1.5°C
IMAGE 3.3,SHAPE-SDP-EI-1.5°C [with Climate Change Impacts],1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-EI-1.5°C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SDP-MC-1.5°C,1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-MC-1.5°C
IMAGE 3.3,SHAPE-SDP-MC-1.5°C [with Climate Change Impacts],1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-MC-1.5°C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SDP-RC-1.5°C,1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-RC-1.5°C
IMAGE 3.3,SHAPE-SDP-RC-1.5°C [with Climate Change Impacts],1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SDP-RC-1.5°C [with Climate Change Impacts]
IMAGE 3.3,SHAPE-SSP1-1.5°C,1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SSP1-1.5°C
IMAGE 3.3,SHAPE-SSP2-1.5°C,1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SSP2-1.5°C
IMAGE 3.3,SHAPE-SSP2-1.5°C [with Climate Change Impacts],1.5C,High-CDR,IMAGE,SHAPE,Likely pre-repair degree-sign key omission,Direct-R10 primary,IMAGE 3.3,SHAPE-SSP2-1.5°C [with Climate Change Impacts]
MESSAGEix-GLOBIOM 1.1,NGFS Phase 2-Below 2°C,2C,High-CDR,MESSAGEix,NGFS Phase 2,Likely pre-repair degree-sign key omission,Direct-R10 primary,MESSAGEix-GLOBIOM 1.1,NGFS Phase 2-Below 2°C
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,2C,High-RE,MESSAGEix,NGFS Phase 5,Likely pre-repair degree-sign key omission,Direct-R10 primary,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C
REMIND 2.1,CEMICS-GDPgrowth-1.5°C,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-GDPgrowth-1.5°C
REMIND 2.1,CEMICS-GDPgrowth-2.0°C,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-GDPgrowth-2.0°C
REMIND 2.1,CEMICS-HotellingConst-2.0°C,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-HotellingConst-2.0°C
REMIND 2.1,CEMICS-Linear-1.5°C,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-Linear-1.5°C
REMIND 2.1,CEMICS-Linear-2.0°C,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-Linear-2.0°C
REMIND 2.1,CEMICS-Optimal-1.5°C,1.5C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-Optimal-1.5°C
REMIND 2.1,CEMICS-Optimal-2.0°C,2C,High-RE,REMIND,CEMICS,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 2.1,CEMICS-Optimal-2.0°C
REMIND 3.0,NAVIGATE Demand-1.5°C-all_u,1.5C,High-CDR,REMIND,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 3.0,NAVIGATE Demand-1.5°C-all_u
REMIND 3.0,NAVIGATE Demand-2.0°C-all_u,2C,High-RE,REMIND,NAVIGATE,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND 3.0,NAVIGATE Demand-2.0°C-all_u
REMIND-MAgPIE 1.7-3.0,COMMIT-2°C-2020,1.5C,High-RE,REMIND,COMMIT,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,COMMIT-2°C-2020
REMIND-MAgPIE 1.7-3.0,COMMIT-2°C-2030,1.5C,High-RE,REMIND,COMMIT,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,COMMIT-2°C-2030
REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-Cost-Effective,1.5C,High-RE,REMIND,PEP,Likely pre-repair degree-sign key omission,Direct-R10 primary,REMIND-MAgPIE 1.7-3.0,PEP-1.5°C-Full-CDR-Cost-Effective
